,acc_05-dims
350,0.064516129
351,0.018433179723502304
352,0.013638421991955463
353,0.016589861751152075
354,0.012903225806451613
355,0.027665752111025278
356,0.039647319
357,0.09124424
358,0.019589249087664153
359,0.040100157
360,0.045630111078554116
361,0.10235209504275325
362,0.16386883673849922
363,0.092197864
364,0.12794011880344158
365,0.16254228709943794
366,0.0447564
367,0.062486348
368,0.13042273780666472
369,0.062219973
370,0.047020590820702694
371,0.076108788
372,0.060408619908899605
373,0.15746517141258892
374,0.17445992381662717
375,0.15263844862949844
376,0.181209877
377,0.15213766282198132
378,0.10074318744838975
379,0.15976132761514078
380,0.11966117045363736
381,0.1051170720012786
382,0.17283503369649184
383,0.23654138142297754
384,0.1885831490903279
385,0.17749127620468286
386,0.069204337
387,0.13900002663754296
388,0.19781572147785087
389,0.1996590394502011
390,0.12494073146692952
391,0.19298899869476038
392,0.079779441
393,0.061079885991316155
394,0.041021816
395,0.060392637383127765
396,0.10563384033456755
397,0.085996644
398,0.044021203
399,0.080232279
400,0.024682347
401,0.14315548333821687
402,0.18050664606696679
403,0.1608694494019872
404,0.17032044964172505
405,0.085074985
406,0.095165286
407,0.10278895074718308
408,0.04516129
409,0.074451933
410,0.090120135
411,0.04631736
412,0.016589861751152075
413,0.09611891
414,0.070967742
415,0.008076503
416,0.014309688074372018
417,0
418,0.015668202764976956
419,0.015215364534775311
420,0.013622439466183639
421,0.011326283263631762
422,0.015918595668735516
423,0.017074665
424,0.004155457
425,0.013840867
426,0.011763138968061585
427,0.036461469
428,0.029775445512905886
429,0.021011694
430,0.004608295
431,0.006920434
432,0.011310300737859939
433,0.018465145
434,0.015465757438533869
435,0.018214751871287394
436,0.011075890359873206
437,0.00921659
438,0.010138248847926268
439,0.001843318
440,0.003686636
441,0.012247942249806878
442,0.005077116
443,0.007154844
444,0.008763752
445,0.013153618710210169
446,0.013856849844170373
447,0.004608295
448,0.003468208
449,0.007373272
450,0.002764977
451,0.008763752
452,0.001156069
453,0.002764977
454,0.008529341
455,0.000921659
456,0.015465757438533869
457,0.013153618710210169
458,0.013372046562425082
459,0.004624277
460,0.008998162
461,0.018667590101489037
462,0.017559468314642657
463,0.009248555
464,0
465,0.016184971098265895
466,0.002312139
467,0.010404624277456647
468,0.017293092885112278
469,0.01084148
470,0.007154844
471,0.008529341
472,0.009232572
473,0.003921046
474,0.038256839189153194
475,0.006920434
476,0.007154844
477,0.009014145
478,0.004608295
479,0.001843318
480,0.029040249
481,0.011997549346048322
482,0.025151168
483,0.025806451612903226
484,0.045646093604325935
485,0.040851335872779095
486,0.030649156921765536
487,0.029072214378945686
488,0.028353001
489,0.031570815907940655
490,0.047958232332649633
491,0.060142244479369236
492,0.042396313
493,0.07443595
494,0.049316747
495,0.028571429
496,0.053941024
497,0.009451
498,0.078639354
499,0.11270877174289444
500,0.12512719426760074
501,0.092634719
502,0.061751152
503,0.13020430995444982
504,0.18022428811166458
505,0.098447031
506,0.043802775631975696
507,0.17289896379957911
508,0.12378466210276765
509,0.084606164
510,0.032258065
511,0.021198156682027652
512,0.073764684
513,0.050472816
514,0.056924429
515,0.053019365
516,0.064313684
517,0.063189579
518,0.048645481
519,0.076295251
520,0.052364082
521,0.025369595908473402
522,0.009685411
523,0.023073439705921527
524,0.035726273
525,0.031602780959484295
526,0.045864521
527,0.028821821475187127
528,0.044724435
529,0.024666365
530,0.036663914
531,0.030681122
532,0.031133960203510825
533,0.041288191577208914
534,0.037617538
535,0.028805838949415307
536,0.030478677
537,0.012684797954236701
538,0.028166537918542393
539,0.032758850323646144
540,0.039695267
541,0.05397299
542,0.061815082
543,0.026056844516661782
544,0.013606456940411816
545,0.065501718
546,0.063876828
547,0.097791748
548,0.047521376628219814
549,0.094824325
550,0.036946272
551,0.056535521
552,0.10240004262006872
553,0.11641139021336673
554,0.10721078287738739
555,0.1007591699741616
556,0.11667776564289711
557,0.15996377294158387
558,0.084856557
559,0.057206787245944433
560,0.067563464
561,0.071452545
562,0.045646093604325935
563,0.078655337
564,0.10444580591886206
565,0.065688181
566,0.041021816
567,0.054159452332116886
568,0.015668203
569,0.034383740443781466
570,0.073125383
571,0.074750273
572,0.11260222157108228
573,0.12748728057323994
574,0.1061665911936283
575,0.080045817
576,0.080514637
577,0.1449988013105671
578,0.11319357502463974
579,0.15858927572520715
580,0.03391492
581,0.004389867
582,0.011294318212088117
583,0.051628886
584,0.079576996
585,0.008763752
586,0.006467595
587,0.026728110599078342
588,0.005764364
589,0.015215364534775311
590,0.020510908
591,0.004608295
592,0.030212301217335712
593,0.064079273
594,0.006686023
595,0.024682347
596,0.016137024
597,0.037351163
598,0.006451613
599,0.018230734397059217
600,0.014309688074372018
601,0.031586798
602,0.054409845
603,0.042193868037612214
604,0.014059295170613462
605,0.017293092885112278
606,0.007154844
607,0.019136410857462503
608,0.005529954
609,0.040132122
610,0.010372659225913001
611,0.023744705788338084
612,0.019370821235449243
613,0.017745931115313925
614,0.018433179723502304
615,0.024666364774513193
616,0.003686636
617,0.010138248847926268
618,0.010138248847926268
619,0.022354226046189498
620,0.041725047
621,0.026728110599078342
622,0.030649156921765536
623,0.015215364534775311
624,0.006936416
625,0.012903225806451613
626,0.008763752
627,0.010607069603899736
628,0.018683573
629,0.003921046
630,0.004608295
631,0.011059907834101382
632,0.008529341
633,0.035273434
634,0.024213526544311546
635,0.017996324
636,0.004608295
637,0.03089955
638,0.013824884792626729
639,0.023510295
640,0.006702006
641,0.021666977
642,0.010372659225913001
643,0.010138248847926268
644,0.010138248847926268
645,0.008294931
646,0.020542873125382916
647,0.012903225806451613
648,0.005529954
649,0.019354839
650,0.015902613
651,0.005998775
652,0.014746543778801843
653,0.007607682
654,0.009451
655,0.018433179723502304
656,0.008294931
657,0.020276497695852533
658,0.030414746543778803
659,0.029493087557603687
660,0.017527503
661,0.019589249
662,0.009451
663,0.021432567060014385
664,0.021432567060014385
665,0.028587411097200394
666,0.024884793
667,0.061799099651048184
668,0.035289417
669,0.036866359
670,0.071218135
671,0.05901814
672,0.034570203
673,0.046333342
674,0.044490024240164086
675,0.056721984
676,0.052113689033323564
677,0.057862071
678,0.075123199
679,0.074467915
680,0.081372366
681,0.10010388641751684
682,0.087855944
683,0.078623372
684,0.084185291
685,0.1095389041314829
686,0.095714019
687,0.08991769
688,0.086699875
689,0.058799712
690,0.067765909
691,0.088996031
692,0.068250713
693,0.064079273
694,0.081169921
695,0.12431741296182841
696,0.10653951679497083
697,0.090370528
698,0.10283689832449856
699,0.10957086918302657
700,0.11485043019631869
701,0.11624090993846728
702,0.10375855731067367
703,0.10143043605657813
704,0.082075597
705,0.1086172451453078
706,0.10213366719053836
707,0.090354546
708,0.1016808289603367
709,0.056237181
710,0.04631736
711,0.048863908793052926
712,0.060627048
713,0.090136118
714,0.076311233
715,0.088324765
716,0.076513678
717,0.081356384
718,0.10699235502517249
719,0.1310354012945846
720,0.1109453663994033
721,0.11391278868437175
722,0.11466396739564741
723,0.12342771902719693
724,0.10833488719000561
725,0.080216297
726,0.084824592
727,0.10649156921765537
728,0.10831890466423377
729,0.095650089
730,0.1110838816227591
731,0.14253216483311576
732,0.10791401401134759
733,0.13861111851042857
734,0.14767321062305214
735,0.1589355637835966
736,0.15938840201379825
737,0.13950081244506007
